Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
Ground,ZL0.604,Transformer,T-LP-LS-GA,15 kVA,480-208Y/120V,3P3W,HP-LS-GA,Floor-mounted,Emergency,Step-down
Ground,ZL0.604,Transformer,T-LP-CR-GB,45 kVA,480-208Y/120V,3P4W,EHDP-CR-H,Floor-mounted,Emergency,Step-down
Ground,ZL0.604,Feeder Panel,EHDP-LS,225A,480Y/277V,3P4W,ATS-LS,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.604,Feeder Panel,EHDP-CR-H,400A,480Y/277V,3P4W,EHDP-CR,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.604,Feeder Panel,ELDP-CR-H,400A,208Y/120V,3P4W,T-ELDP-CR-H,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.604,Branch Panel,HP-CR-GB,200A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-LS-GB,50A,208Y/120V,3P4W,T-LP-LS-GB,Wall-mounted,Emergency,Lighting/signal
Ground,ZL0.604,Branch Panel,LP-LS-GA,50A,208Y/120V,3P4W,T-LP-LS-GA,Wall-mounted,Emergency,Fire alarm/emergency
Ground,ZL0.604,Branch Panel,HP-LS-GA,100A,480Y/277V,3P4W,EHDP-LS,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-G3,250A,208Y/120V,3P4W,T-LP-CR-G3,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,HP-CR-GA,100A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-GA,200A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-GA Sec 2,200A,208Y/120V,3P4W,LP-CR-GA,Wall-mounted,Emergency,Section continuation
Ground,ZL0.604,Disconnect,T-LP-CR-GC PRI DISC,150A,480Y/277V,3P3W,EHDP-CR-H,Wall-mounted,Emergency,Transformer primary
Ground,ZL0.604,Disconnect,T-LP-CR-GC SEC DISC,150A,480Y/277V,3P4W,T-LP-CR-GC,Wall-mounted,Emergency,Transformer secondary
Ground,ZL0.706,Transformer,T-LP-CR-GD,75 kVA,480-208Y/120V,3P4W,EHDP-CR-X,Floor-mounted,Emergency,Step-down
Ground,ZL0.706,Feeder Panel,EHDP-CR-X,1200A,480Y/277V,3P4W,ATS-CRDX,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.706,Branch Panel,LP-CR-2,150A,208Y/120V,3P4W,T-LP-CR-2,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.706,Branch Panel,LP-CR-GD,250A,208Y/120V,3P4W,T-LP-CR-GD,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.706,Branch Panel,LP-GD,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.706,Branch Panel,LP-GB,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.706,Branch Panel,LP-GB Sec 2,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Section continuation
Ground,ZL0.706,Disconnect,APC UPS DISC,50A,208Y/120V,3P4W,LP-CR-GD,Wall-mounted,Emergency,UPS disconnect
Ground,ZL0.706,Disconnect,TRS-1 DISC,50A,208Y/120V,3P4W,LP-CR-GD,Wall-mounted,Emergency,TRS equipment disconnect
Ground,ZL0.704G,Feeder Panel,EMDB-HB,600A,480Y/277V,3P4W,EHDP-EE2,Wall-mounted,Emergency,Emergency main distribution
Ground,ZL0.704G,Feeder Panel,EMDB-HB Sec 2,600A,480Y/277V,3P4W,EHDP-EE2,Wall-mounted,Emergency,Section 2
Ground,ZL0.704G,Feeder Panel,MDB-HB,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Main distribution
Ground,ZL0.704G,Feeder Panel,MDB-HB Sec 2,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Section 2
Ground,ZL0.704G,Branch Panel,ELDP-CR-H2,400A,208Y/120V,3P4W,T-ELDP-CR-H2,Wall-mounted,Emergency,Lighting/power
Ground,ZL0.704G,Branch Panel,HP-B,150A,480Y/277V,3P4W,MDB-HB,Wall-mounted,Normal,Lighting/power
Ground,ZL0.704G,Branch Panel,LP-B,100A,208Y/120V,3P4W,T-LP-B,Wall-mounted,Normal,Lighting/power
Ground,ZL0.704G,Branch Panel,HP-EQ-B,150A,480Y/277V,3P4W,EMDB-HB,Wall-mounted,Emergency,Equipment power
Ground,ZL0.704G,Branch Panel,LP-EQ-B,100A,208Y/120V,3P4W,T-LP-EQ-B,Wall-mounted,Emergency,Equipment power
Ground,ZL0.704G,Disconnect,SF-1,15A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-2,15A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-3,30A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-4,30A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-5,30A,480Y/277V,3P3W,MDB-HB,Wall-mounted,Normal,Kitchen hood fan
Ground,ZL0.704G,Disconnect,EF-3-15,15A,480Y/277V,3P3W,MDB-HB,Wall-mounted,Normal,Exhaust fan
Ground,ZL0.214,Feeder Panel,HDP-RAD,800A,480Y/277V,3P4W,MSB-CP,Wall-mounted,Normal,Distribution
Ground,ZL0.214,Branch Panel,LDP-RAD,250A,208Y/120V,3P4W,T-LDP-RAD,Wall-mounted,Normal,Lighting/power
Ground,ZL0.506,Feeder Panel,HDP-RAD,800A,480Y/277V,3P4W,MSB-CP,Wall-mounted,Normal,Main distribution for Radiology
Ground,ZL0.506,ECB,RF/A (Left),175A,,,,,,
