Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
TEP Plant,TEP Main Switch Electrical Room,Main Breaker,MAIN,,480Y/277V,3P4W,Utility Service,Switchboard,Normal,Schneider/Square D PowerZone multi-section gear
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,MD-CP-1,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds MD-CP-1 distribution
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,MD-CP-2,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds MD-CP-2 distribution
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,CH-1,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds CH-1 distribution
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,CH-2,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds CH-2 distribution
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,CH-3,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds CH-3 distribution
TEP Plant,TEP Main Switch Electrical Room,Feeder Breaker,HDP-RAD,,480Y/277V,3P4W,Main,Switchboard,Normal,Feeds HDP-RAD panel
TEP Plant,TEP Main Switch Electrical Room,Branch Panel,HP-EQ-CP,150A,480Y/277V,3P4W,EMD-CP,Wall-mounted,Emergency,
TEP Plant,TEP Main Switch Electrical Room,Branch Panel,LP-EQ-CP,100A,208Y/120V,3P4W,T-LP-EQ-CP,Wall-mounted,Emergency,
TEP Plant,TEP Main Switch Electrical Room,Transformer,T-LP-EQ-CP,30 kVA,480-208Y/120V,3P3W,HP-EQ-CP,Floor-mounted,Emergency,Square D dry-type transformer
Ground,Cyber,Transformer,T-LACC,45 kVA,480-208Y/120V,3P3W,HP-LACC,Floor-mounted,Normal,Step-down transformer
Ground,Cyber,Transformer,T-LACC2,45 kVA,480-208Y/120V,3P3W,HP-LACC,Suspended,Normal,Step-down transformer
Ground,Cyber,Branch Panel,HP-LACC,150A,480Y/277V,3P4W,MDA-HB,Wall-mounted,Normal,Normal branch panel
Ground,Cyber,Branch Panel,LP-LACC,150A,208Y/120V,3P4W,T-LACC,Wall-mounted,Normal,Normal branch panel
Ground,Cyber,Disconnect,SF-1,15A,480Y/277V,3P3W,HP-LACC,Wall-mounted,Normal,Supply fan disconnect
Ground,Cyber,Disconnect,EF-1,15A,480Y/277V,3P3W,HP-LACC,Wall-mounted,Normal,Exhaust fan disconnect
Ground,ZL0.802,Transformer,T-LP-A,30 kVA,480-208Y/120V,3P3W,HP-A,Floor-mounted,Normal,Step-down transformer
Ground,ZL0.802,Transformer,T-LP-EQ-A,30 kVA,480-208Y/120V,3P3W,HP-EQ-A,Floor-mounted,Emergency,Emergency step-down
Ground,ZL0.802,Branch Panel,HP-A,150A,480Y/277V,3P4W,MDA-HB,Wall-mounted,Normal,Normal branch panel
Ground,ZL0.802,Branch Panel,HP-EQ-A,150A,480Y/277V,3P4W,EMDA-HB,Wall-mounted,Emergency,Emergency branch panel
Ground,ZL0.802,Branch Panel,LP-A,100A,208Y/120V,3P4W,T-LP-A,Wall-mounted,Normal,Normal branch panel
Ground,ZL0.802,Branch Panel,LP-EQ-A,100A,208Y/120V,3P4W,T-LP-EQ-A,Wall-mounted,Emergency,Emergency branch panel
Ground,ZL0.802,Disconnect,EF-3-17 DISC,15A,480V,3P3W,MDA-HB,Wall-mounted,Normal,Exhaust fan disconnect
Ground,ZL0.802,Disconnect,EF-3-14 DISC,15A,480V,3P3W,MDA-HB,Wall-mounted,Normal,Exhaust fan disconnect
Ground,ZL0.802,Disconnect,EF-3-10 DISC,15A,480V,3P3W,MDA-HB,Wall-mounted,Normal,Exhaust fan disconnect
Ground,ZL0.802,Disconnect,EF-3-5 DISC,15A,480V,3P3W,MDA-HB,Wall-mounted,Normal,Exhaust fan disconnect
Ground,ZL0.716,Disconnect,ELEV-8,100A,480Y/277V,3P3W,EMDA-HB,Wall-mounted,Emergency,Elevator #8
Ground,ZL0.716,Disconnect,ELEV-9,100A,480Y/277V,3P3W,EMDA-HB,Wall-mounted,Emergency,Elevator #9
Ground,ZL0.716,Disconnect,ELEV-10,100A,480V,3P3W,PNL MCCA/HB,Wall-mounted,Normal,Elevator #10
Ground,ZL0.602,Transformer,T-LDP-H1,225 kVA,480-208Y/120V,3P3W,HDP-H1,Suspended,Normal,Step-down feeding LDP-H1
Ground,ZL0.602,Transformer,T-DP-K,225 kVA,480-208Y/120V,3P3W,HP-K,Suspended,Normal,Step-down feeding DP-K
Ground,ZL0.602,Feeder Panel,HDP-H1,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Distribution
Ground,ZL0.602,Feeder Panel,HP-K,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Distribution
Ground,ZL0.602,Feeder Panel,LDP-H1,1000A,208Y/120V,3P4W,HDP-PH,Wall-mounted,Normal,Lighting/power
Ground,ZL0.602,Feeder Panel,DP-K,800A,208Y/120V,3P4W,T-DP-K,Wall-mounted,Normal,Lighting/power
Ground,ZL0.602,Branch Panel,HP-GA,150A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.602,Branch Panel,LP-CR-GB,250A,208Y/120V,3P4W,LP-CR-GB,Wall-mounted,Emergency,Emergency panel
Ground,ZL0.602,Branch Panel,LP-GC,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.602,Branch Panel,LP-GA,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.602,Branch Panel,LP-GA Sec 2,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Section continuation
Ground,ZL0.604,Transformer,T-LP-LS-GB,15 kVA,480-208Y/120V,3P3W,HP-LS-GA,Suspended,Emergency,Step-down
Ground,ZL0.604,Transformer,T-LP-CR-G3,75 kVA,480-208Y/120V,3P3W,EHDP-CR-H,Suspended,Emergency,Step-down
Ground,ZL0.604,Transformer,T-ELDP-CR-H,112.5 kVA,480-208Y/120V,3P3W,EHDP-CR-H,Suspended,Emergency,Step-down
Ground,ZL0.604,Transformer,T-LP-CR-GC,45 kVA,480-208Y/120V,3P4W,T-LP-CR-GC PRI DISC,Suspended,Emergency,Step-down
Ground,ZL0.604,Transformer,T-LP-LS-GA,15 kVA,480-208Y/120V,3P3W,HP-LS-GA,Floor-mounted,Emergency,Step-down
Ground,ZL0.604,Transformer,T-LP-CR-GB,45 kVA,480-208Y/120V,3P4W,EHDP-CR-H,Floor-mounted,Emergency,Step-down
Ground,ZL0.604,Feeder Panel,EHDP-LS,225A,480Y/277V,3P4W,ATS-LS,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.604,Feeder Panel,EHDP-CR-H,400A,480Y/277V,3P4W,EHDP-CR,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.604,Feeder Panel,ELDP-CR-H,400A,208Y/120V,3P4W,T-ELDP-CR-H,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.604,Branch Panel,HP-CR-GB,200A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-LS-GB,50A,208Y/120V,3P4W,T-LP-LS-GB,Wall-mounted,Emergency,Lighting/signal
Ground,ZL0.604,Branch Panel,LP-LS-GA,50A,208Y/120V,3P4W,T-LP-LS-GA,Wall-mounted,Emergency,Fire alarm/emergency
Ground,ZL0.604,Branch Panel,HP-LS-GA,100A,480Y/277V,3P4W,EHDP-LS,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-G3,250A,208Y/120V,3P4W,T-LP-CR-G3,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,HP-CR-GA,100A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-GA,200A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,Emergency branch
Ground,ZL0.604,Branch Panel,LP-CR-GA Sec 2,200A,208Y/120V,3P4W,LP-CR-GA,Wall-mounted,Emergency,Section continuation
Ground,ZL0.604,Disconnect,T-LP-CR-GC PRI DISC,150A,480Y/277V,3P3W,EHDP-CR-H,Wall-mounted,Emergency,Transformer primary
Ground,ZL0.604,Disconnect,T-LP-CR-GC SEC DISC,150A,480Y/277V,3P4W,T-LP-CR-GC,Wall-mounted,Emergency,Transformer secondary
Ground,ZL0.706,Transformer,T-LP-CR-GD,75 kVA,480-208Y/120V,3P4W,EHDP-CR-X,Floor-mounted,Emergency,Step-down
Ground,ZL0.706,Feeder Panel,EHDP-CR-X,1200A,480Y/277V,3P4W,ATS-CRDX,Wall-mounted,Emergency,Emergency distribution
Ground,ZL0.706,Branch Panel,LP-CR-2,150A,208Y/120V,3P4W,T-LP-CR-2,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.706,Branch Panel,LP-CR-GD,250A,208Y/120V,3P4W,T-LP-CR-GD,Wall-mounted,Emergency,Emergency lighting/power
Ground,ZL0.706,Branch Panel,LP-GD,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.706,Branch Panel,LP-GB,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Lighting/power
Ground,ZL0.706,Branch Panel,LP-GB Sec 2,225A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,Section continuation
Ground,ZL0.706,Disconnect,APC UPS DISC,50A,208Y/120V,3P4W,LP-CR-GD,Wall-mounted,Emergency,UPS disconnect
Ground,ZL0.706,Disconnect,TRS-1 DISC,50A,208Y/120V,3P4W,LP-CR-GD,Wall-mounted,Emergency,TRS equipment disconnect
Ground,ZL0.704G,Feeder Panel,EMDB-HB,600A,480Y/277V,3P4W,EHDP-EE2,Wall-mounted,Emergency,Emergency main distribution
Ground,ZL0.704G,Feeder Panel,EMDB-HB Sec 2,600A,480Y/277V,3P4W,EHDP-EE2,Wall-mounted,Emergency,Section 2
Ground,ZL0.704G,Feeder Panel,MDB-HB,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Main distribution
Ground,ZL0.704G,Feeder Panel,MDB-HB Sec 2,800A,480Y/277V,3P4W,MSB-HB,Wall-mounted,Normal,Section 2
Ground,ZL0.704G,Branch Panel,ELDP-CR-H2,400A,208Y/120V,3P4W,T-ELDP-CR-H2,Wall-mounted,Emergency,Lighting/power
Ground,ZL0.704G,Branch Panel,HP-B,150A,480Y/277V,3P4W,MDB-HB,Wall-mounted,Normal,Lighting/power
Ground,ZL0.704G,Branch Panel,LP-B,100A,208Y/120V,3P4W,T-LP-B,Wall-mounted,Normal,Lighting/power
Ground,ZL0.704G,Branch Panel,HP-EQ-B,150A,480Y/277V,3P4W,EMDB-HB,Wall-mounted,Emergency,Equipment power
Ground,ZL0.704G,Branch Panel,LP-EQ-B,100A,208Y/120V,3P4W,T-LP-EQ-B,Wall-mounted,Emergency,Equipment power
Ground,ZL0.704G,Disconnect,SF-1,15A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-2,15A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-3,30A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-4,30A,480Y/277V,3P3W,EMDB-HB,Wall-mounted,Emergency,Supply fan
Ground,ZL0.704G,Disconnect,SF-5,30A,480Y/277V,3P3W,MDB-HB,Wall-mounted,Normal,Kitchen hood fan
Ground,ZL0.704G,Disconnect,EF-3-15,15A,480Y/277V,3P3W,MDB-HB,Wall-mounted,Normal,Exhaust fan
Ground,ZL0.214,Feeder Panel,HDP-RAD,800A,480Y/277V,3P4W,MSB-CP,Wall-mounted,Normal,Distribution
Ground,ZL0.214,Branch Panel,LDP-RAD,250A,208Y/120V,3P4W,T-LDP-RAD,Wall-mounted,Normal,Lighting/power
Ground,ZL0.506,Feeder Panel,HDP-RAD,800A,480Y/277V,3P4W,MSB-CP,Wall-mounted,Normal,Main distribution for Radiology
Ground,ZL0.506,ECB,RF/A (Left),175A,,,,,,
Ground,ZL0.904E,Feeder Panel,E HDP-EE1,800A,480Y/277V,3P4W,ATS-EE1,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Panel,E HDP-EE2,800A,480Y/277V,3P4W,ATS-EE2,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Panel,E HDP-CR,600A,480Y/277V,3P4W,ATS-CR,Switchboard,Emergency,
Ground,ZL0.904E,Main Breaker,EMSB MAIN,1200A,480Y/277V,3P4W,Emergency Generator,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-EE1,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,FP-2 ATS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,FP-1 ATS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-EE2,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-CR,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-LS,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-OR,800A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Feeder Breaker,ATS-CDPX,1600A,480Y/277V,3P4W,EMSB,Switchboard,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-EE1,600A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-EE2,800A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-CR,600A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-LS,225A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-OR,225A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E,Automatic Transfer Switch,ATS-CDPX,1200A,480Y/277V,3P4W,MSB-HB / EMSB,Wall-mounted,Emergency,
Ground,ZL0.904E1,Main Breaker,MSB-HB MAIN,4000A,480Y/277V,3P4W,Utility XFMR HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MDB-HB,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HDP-H1,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-EE1,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HP-K,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HP-CP-B,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MD-PH,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,MDA-HB,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,HDP-PH,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-CR,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-OR,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Feeder Breaker,ATS-CDPX,800A,480Y/277V,3P4W,MSB-HB,Switchboard,Normal,
Ground,ZL0.904E1,Transformer,T-GENSET1,30 kVA,480-208Y/120V,3P4W,T-GENSET1 PRI DISC,Wall-mounted,Emergency,
Ground,ZL0.904E1,Transformer,T-GENSET2,30 kVA,480-208Y/120V,3P4W,T-GENSET2 PRI DISC,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET1 PRI DISC,60A,480Y/277V,3P3W,HP-CR-CP-A,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET1 SEC DISC,100A,480Y/277V,3P4W,T-GENSET1,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET2 PRI DISC,60A,480Y/277V,3P3W,HP-CR-CP-A,Wall-mounted,Emergency,
Ground,ZL0.904E1,Disconnect,T-GENSET2 SEC DISC,100A,480Y/277V,3P4W,T-GENSET2,Wall-mounted,Emergency,
2nd Floor,ZL2.106,Transformer,T-LP-EQ-2B,30 kVA,480-208Y/120V,3P3W,HP-EQ-2B,Suspended,Emergency,
2nd Floor,ZL2.106,Branch Panel,LP-EQ-2B,100A,208Y/120V,3P4W,T-LP-EQ-2B,Wall-mounted,Emergency,
2nd Floor,ZL2.106,Feeder Panel,HP-EQ-2B,150A,480Y/277V,3P4W,EMDA-HB,Wall-mounted,Emergency,
2nd Floor,ZL2.406,Branch Panel,LP-LS-2A,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.406,Feeder Panel,HP-LS-2A,100A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.406,Transformer,T-LP-LS-2A,15 kVA,480-208Y/120V,3P3W,HP-LS-2A,Suspended,Emergency,
2nd Floor,ZL2.410,Branch Panel,LP-CR-2BB,100A,208Y/120V,3P4W,ELDP-CR-H1,Wall-mounted,Emergency,
2nd Floor,ZL2.410,Branch Panel,LP-2BB,100A,208Y/120V,3P4W,LDP-H2,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Branch Panel,LP-EQ-2A,100A,208Y/120V,3P4W,T-LP-EQ-2A,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Feeder Panel,HP-EQ-2A,150A,480Y/277V,3P4W,EMDA-HB,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-2A,100A,208Y/120V,3P4W,LDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Feeder Panel,HP-2A,100A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,
2nd Floor,ZL2.818A,Feeder Panel,HP-CR-2A,100A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-CR-2A,200A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Branch Panel,LP-CR-2A SECTION 2,200A,208Y/120V,3P4W,LP-CR-2A,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Feeder Panel,EHDP-OR1,400A,480Y/277V,3P4W,EHDP-CR-X,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,Feeder Panel,ELDP-OR,500A,480Y/277V,3P4W,T-ELDP-OR,Wall-mounted,Emergency,
2nd Floor,ZL2.818A,ECB,T-ELDP-OR ECB,225A,480Y/277V,3P4W,ATS-OR,Wall-mounted,Emergency,Disconnect/Breaker
2nd Floor,ZL2.818A,Transformer,T-XFMR X-RAY,75 kVA,480-208Y/120V,3P3W,,Floor-mounted,Emergency,
2nd Floor,ZL2.818A,Transformer,T-ELDP-OR,150 kVA,480-208Y/120V,3P3W,ATS-OR,Floor-mounted,Emergency,
2nd Floor,ZL2.818A,Transformer,T-LP-EQ-2A,30 kVA,480-208Y/120V,3P3W,HP-EQ-2A,Floor-mounted,Emergency,
2nd Floor,OR-1,LIM Panel,OR1A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-1,LIM Panel,OR1B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-1,LIM Panel,OR1C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-2,LIM Panel,OR2A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-2,LIM Panel,OR2B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-2,LIM Panel,OR2C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-3,LIM Panel,OR3A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-3,LIM Panel,OR3B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-3,LIM Panel,OR3C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-4,LIM Panel,OR4A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-4,LIM Panel,OR4B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-4,LIM Panel,OR4C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-5,LIM Panel,OR5A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-5,LIM Panel,OR5B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-5,LIM Panel,OR5C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-6,LIM Panel,OR6A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-6,LIM Panel,OR6B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-6,LIM Panel,OR6C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-7,LIM Panel,OR7A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-7,LIM Panel,OR7B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-7,LIM Panel,OR7C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-8,LIM Panel,OR8A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-8,LIM Panel,OR8B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-8,LIM Panel,OR8C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-9,LIM Panel,OR9A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-9,LIM Panel,OR9B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-9,LIM Panel,OR9C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-10,LIM Panel,OR10A,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-10,LIM Panel,OR10B,60A,208/120V,2P3W,ELDP-OR,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,OR-10,LIM Panel,OR10C,60A,480Y/277V,2P3W,EHDP-OR1,Wall-mounted,Emergency,Identical for OR 1-10
2nd Floor,PROCEDURE 1,Branch Panel,PROCEDURE 1,100A,208Y/120V,3P4W,ELDP-OR,Wall-mounted,Emergency,
2nd Floor,PROCEDURE 2,Branch Panel,PROCEDURE 2,100A,208Y/120V,3P4W,ELDP-OR,Wall-mounted,Emergency,
3rd Floor,ZL3.114,Transformer,T-ELDP-CR-H1,112.5 kVA,480-208Y/120V,3P3W,EHDP-CR-H,Floor-mounted,Emergency,Step-down transformer
3rd Floor,ZL3.114,Disconnect,T-ELDP-CR-H1 Disconnect,250A,480Y/277V,3P4W,EHDP-CR-H,Wall-mounted,Emergency,Feeds transformer above
3rd Floor,ZL3.114,Feeder Panel,ELDP-CR-H1,400A,208Y/120V,3P4W,T-ELDP-CR-H1,Wall-mounted,Emergency,Emergency lighting/power feeder panel
3rd Floor,ZL3.114,Branch Panel,LP-CR-3C,125A,208Y/120V,3P4W,ELDP-CR-H,Wall-mounted,Emergency,Branch circuit panel
3rd Floor,ZL3.114,Branch Panel,LP-CR-3D,100A,208Y/120V,3P4W,ELDP-CR-H1,Wall-mounted,Emergency,Branch circuit panel
3rd Floor,ZL3.114,Transformer,T-LDP-H2,112.5 kVA,480-208Y/120V,3P3W,HDP-H1,Floor-mounted,Normal,Step-down transformer
3rd Floor,ZL3.114,Disconnect,T-LDP-H2 Disconnect,250A,480Y/277V,3P4W,HDP-H1,Wall-mounted,Normal,Feeds transformer above
