Floor,Room Number,Equipment Type,Equipment Name/Label,Amperage/kVA,Voltage,Phase/Wire,Fed From,Mounting,System Type,Notes
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 1 Transformer,51 kVA,480→169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,DC Output Filter,Elevator 1 DC Filter,,600 VDC / 200A,1P,,Floor-mounted,,Jefferson Electric 300-5043-101
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 2 Transformer,51 kVA,480→169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,DC Output Filter,Elevator 2 DC Filter,,600 VDC / 200A,1P,,Floor-mounted,,Jefferson Electric 300-5043-101
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 3 Transformer,51 kVA,480→169/92V,3P,,Floor-mounted,,Jefferson Electric 423-E500-057
9th Floor,9th Floor Elevator Room 1,DC Output Filter,Elevator 3 DC Filter,,600 VDC / 200A,1P,,Floor-mounted,,Jefferson Electric 300-5043-101
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 4 Transformer,63 kVA,480→210Y/121V,3P,,Floor-mounted,,Jefferson Electric 423-E500-174
9th Floor,9th Floor Elevator Room 1,DC Output Filter,Elevator 4 DC Filter,,600 VDC / 200A,1P,,Floor-mounted,,Jefferson Electric 300-5043-101
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 5 Transformer,63 kVA,480→210Y/121V,3P,,Floor-mounted,,Jefferson Electric 423-E500-174
9th Floor,9th Floor Elevator Room 1,DC Output Filter,Elevator 5 DC Filter,,600 VDC / 200A,1P,,Floor-mounted,,Jefferson Electric 300-5043-101
9th Floor,9th Floor Elevator Room 1,Transformer,Elevator 6 Transformer,63 kVA,480→480Y/277V,3P,,Floor-mounted,,Hammond Power Solutions DM063KK
9th Floor,9th Floor Elevator Room 1,Resistor Box,Elevator 6 Resistor Box,,480V,,,Wall/Floor-mounted,,G.A.L / Galaxy braking resistor
9th Floor,9th Floor Elevator Room 2,Feeder Panel,DP-1,225A,480Y/277V,3P4W,E-HDP-EE2,Wall-mounted,Emergency,Square D I-Line feeder panel
9th Floor,9th Floor Elevator Room 2,Branch Panel,PASS ELEV LOAD CENTER,,,,,Wall-mounted,,Passenger Elevator Load Center
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 76,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 77,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Disconnect,ELEV 78,100A,480Y/277V,3P3W,DP-1,Wall-mounted,Emergency,Eaton HD safety switch
9th Floor,9th Floor Elevator Room 2,Transformer,Elevator Transformers (6 total),,480→208/120V (est.),3P,,Floor-mounted,,Unmarked; to be IR scanned
